Designator,Mid X,Mid Y,Layer,Rotation
C1,97.1,143.5,T,270
C2,177.65,151.6,T,270
C3,119.75,46.3,T,270
C4,196.5,106.2,T,270
C6,204.5,72.65,B,0
C7,117.75,40.6,T,270
C10,113.7,51.75,T,270
C11,111.65,49.7,B,0
C12,199.1,56.35,B,90
C13,135.35,37.45,T,0
C14,192.1,18.15,B,0
C15,192.1,7.7,B,0
C16,190.75,31.15,B,90
C17,63.15,149.45,T,270
C20,214.15,24.3,B,90
C22,211.6,24.3,B,90
C23,18.2,58.8,B,0
C24,8.6,143.3,B,90
C25,18.1,31.15,B,90
C26,58.3,15.65,B,90
C28,39.3,87.65,B,90
C29,113.4,115.85,B,0
C30,38.8,58.8,B,0
C31,88.8,128.35,B,0
C32,32.95,3.75,B,90
C33,211.7,32.1,B,90
C34,87.65,105,B,90
C35,148.15,110.1,B,90
C36,125.35,150.1,B,0
C37,163.15,152.75,B,0
C38,42.7,143.3,B,90
C39,145.35,72.8,B,0
C40,96.55,63.3,B,90
C41,100.6,85.5,B,90
C42,145.9,93.9,B,0
C43,183.9,76.2,B,90
C44,186.15,66.5,B,0
C45,212.95,72.65,B,0
C46,213.9,82,B,90
C47,103.8,87.45,B,90
C48,109.15,74.6,B,0
C49,8.4,129.6,B,90
C51,8.4,124.5,B,90
C52,8.4,119.4,B,90
C53,122.75,64.2,B,90
C58,21.5,21,B,0
C59,20.6,33.1,B,90
C62,58.35,33.1,B,90
C64,58.3,8.7,B,90
C66,112.1,13.7,T,0
C67,112.1,25.15,T,0
C68,159.55,35.7,B,90
C69,166.45,109.2,B,90
C70,107.25,69.1,B,0
C71,109.15,66.1,B,0
C72,109.15,77.6,B,0
C73,107.25,80.35,B,0
C74,109.15,63.1,B,0
C75,99.2,58.6,B,90
C76,103.9,58.6,B,90
C77,89.6,58.6,B,90
C78,85.3,58.6,B,90
C79,80.6,56.8,B,0
C80,101.55,60.5,B,90
C81,87.45,60.5,B,90
C82,97.4,87.45,B,90
C83,88.8,87.45,B,90
C84,94.1,85.5,B,90
C85,96.55,78.1,B,90
C86,79.85,75.15,B,90
J12,172.55,57.4,B,90
J13,174.75,57.4,B,90
R1,63.15,156.1,T,270
R2,83.55,155.55,B,90
R3,60.85,156.1,T,270
R4,92.9,143.5,T,270
R5,62.85,56.6,T,270
R6,95,143.5,T,270
R7,90.8,143.5,T,270
R8,173.35,151.6,T,270
R9,168.45,65.3,B,0
R10,179.8,137.9,T,270
R12,175.5,151.6,T,270
R13,198.55,70.15,T,270
R14,35.6,3.75,B,90
R15,177.7,137.9,T,270
R16,177.7,130.5,T,270
R17,192.1,5.65,B,0
R18,179.8,130.5,T,270
R19,189.8,97.5,T,0
R20,143.2,110.1,T,270
R21,143.2,114.2,T,270
R22,200.1,97.5,T,0
R23,183.25,97.5,T,0
R24,195.15,97.5,T,0
R25,179.45,97.5,T,0
R26,205.35,97.5,T,0
R27,176.25,48.3,B,90
R28,180.35,48.3,B,90
R29,73.85,100.85,T,270
R30,205.2,51.15,B,0
R31,205.2,53.7,B,0
R32,113.3,147.85,B,90
R33,106.35,108.6,T,0
R34,110.75,145.95,B,90
R35,110.55,106.5,T,0
R36,115.85,145.95,B,90
R37,106.35,106.5,T,0
R38,40.7,3.75,B,90
R39,118.4,147.85,B,90
R40,106.35,102.3,T,0
R41,108.25,147.85,B,90
R42,106.35,104.4,T,0
R43,110.55,104.4,T,0
R44,105.7,145.95,B,90
R45,106.35,110.7,T,0
R46,106.35,100.2,T,0
R47,120.7,147.85,B,90
R48,71.3,115.65,T,270
R49,56.6,115.65,T,270
R50,69.2,115.65,T,270
R51,58.7,115.65,T,270
R52,67.1,115.65,T,270
R53,85.1,87.95,B,0
R54,38.15,3.75,B,90
R55,107.1,90.85,T,0
R56,44.45,11.5,B,90
R57,60.8,115.65,T,270
R58,65,115.65,T,270
R59,62.9,115.65,T,270
R60,73.4,115.65,T,270
R61,28.6,109.1,B,90
R62,166.8,89.1,B,90
R63,167.15,81.85,T,0
R64,167.15,79.35,T,0
R65,168.5,71.35,B,0
R66,120.1,115.85,T,0
R67,120.1,118.75,T,0
R68,120.1,105.55,T,0
R69,120.1,110.1,T,0
R70,120.1,108.1,T,0
R71,120.1,112.95,T,0
R72,110.55,110.7,T,0
R73,115.65,67.1,B,90
R74,120.1,103.55,T,0
R75,142.55,145.5,B,90
R76,198.55,63.4,B,90
R77,117.40,74.1,T,0
R78,200.65,63.4,B,90
R79,205.35,62.8,B,90
R80,207.9,62.8,B,90
R81,204.25,119.8,T,270
R82,198.55,73.9,T,270
R83,193.3,12.85,B,90
R84,57.1,100.85,T,270
R85,62.3,100.85,T,270
R86,116.8,52.7,T,0
R87,64.4,100.85,T,270
R88,68.6,100.85,T,270
R89,169.25,5.1,B,0
R90,192.1,23.2,B,0
R92,200.65,67.3,B,90
R93,155.95,29.8,T,270
R94,155.95,33.75,T,270
R95,210.65,19.4,B,0
R96,153.85,29.8,T,270
R97,153.85,33.75,T,270
R98,161.55,19.75,B,0
R99,151.75,29.8,T,270
R100,151.75,33.75,T,270
R101,149.65,29.8,T,270
R102,149.65,33.75,T,270
R103,169.25,22.9,B,0
R104,215.1,19.4,B,0
R105,147.55,29.8,T,270
R106,147.55,33.75,T,270
R107,145.45,29.8,T,270
R108,145.45,33.75,T,270
R109,169.25,20.8,B,0
R110,199.75,23.8,B,90
R111,143.35,29.8,T,270
R112,143.35,33.75,T,270
R113,141.25,29.8,T,270
R114,139.15,29.8,T,270
R115,155.95,18.35,T,270
R116,155.95,22.3,T,270
R117,153.85,18.35,T,270
R118,153.85,22.3,T,270
R119,161.55,13.75,B,0
R120,199.75,20.1,B,90
R121,76.1,92.6,T,270
R122,151.75,18.35,T,270
R123,151.75,22.3,T,270
R124,21.5,24.15,B,0
R125,17.1,37.95,B,0
R126,149.65,18.35,T,270
R127,149.65,22.3,T,270
R128,169.25,16.9,B,0
R130,17.1,41.75,B,0
R131,147.55,18.35,T,270
R132,147.55,22.3,T,270
R133,145.45,18.35,T,270
R134,145.45,22.3,T,270
R135,169.25,14.8,B,0
R136,17.1,39.85,B,0
R137,8.6,64.8,B,90
R138,143.35,18.35,T,270
R139,143.35,22.3,T,270
R140,141.25,18.35,T,270
R141,139.15,18.35,T,270
R142,155.95,6.9,T,270
R143,155.95,10.85,T,270
R144,153.85,6.9,T,270
R145,153.85,10.85,T,270
R146,161.55,7.75,B,0
R147,151.75,6.9,T,270
R148,151.75,10.85,T,270
R149,149.65,6.9,T,270
R150,149.65,10.85,T,270
R151,169.25,10.9,B,0
R152,147.55,6.9,T,270
R153,147.55,10.85,T,270
R154,145.45,6.9,T,270
R155,145.45,10.85,T,270
R156,169.25,8.8,B,0
R157,143.35,6.9,T,270
R158,143.35,10.85,T,270
R159,141.25,6.9,T,270
R160,139.15,6.9,T,270
R161,21.5,45.65,B,0
R162,66.65,34,B,0
R163,21.5,28.4,B,0
R164,66.6,12.7,B,0
R165,48.15,58.6,B,90
R166,27.75,58.6,B,90
R167,52.25,58.6,B,90
R168,31.85,58.6,B,90
R169,50.2,58.6,B,90
R170,29.8,58.6,B,90
R171,178.3,46.4,B,90
R172,182.4,46.4,B,90
R173,205.2,35.9,B,0
R174,205.2,38.45,B,0
R175,192.1,20.65,B,0
R176,71.75,100.85,T,270
R177,66.5,100.85,T,270
R178,175.6,130.5,T,270
R179,175.6,137.9,T,270
R180,105.3,119.25,B,90
R181,107.35,119.25,B,90
R182,110.4,119.25,B,90
R183,112.45,119.25,B,90
R184,68.45,136,B,90
R185,179.85,32.5,B,90
R186,190.9,12.85,B,90
R190,216.3,97.3,T,270
R191,170.1,97.5,T,0
R192,210.6,96.75,T,270
R196,201.8,32.6,B,0
R197,198.1,78.65,B,0
R198,207.75,77.2,B,90
R199,209.8,77.2,B,90
R200,211.85,77.2,B,90
